国,クリック数,表示回数,CTR,掲載順位
日本,16634,155802,10.68%,7.37
カナダ,6,152,3.95%,6.12
タイ,5,34,14.71%,8.24
米国,4,7676,0.05%,12.45
インド,4,194,2.06%,18.62
韓国,2,158,1.27%,7.11
インドネシア,2,54,3.7%,7.98
オーストラリア,2,34,5.88%,10
中国,2,29,6.9%,8.07
アイルランド,2,6,33.33%,8.5
イギリス,1,76,1.32%,9.54
フィリピン,1,67,1.49%,13.66
台湾,1,49,2.04%,11.63
マレーシア,1,48,2.08%,12.94
バングラディッシュ,1,34,2.94%,9.56
シンガポール,1,33,3.03%,7.15
香港,1,23,4.35%,9
南アフリカ,1,16,6.25%,30.06
ラオス,1,1,100%,2
ブラジル,0,555,0%,22.23
ベトナム,0,122,0%,16.82
アルゼンチン,0,83,0%,15.06
メキシコ,0,55,0%,12.56
スペイン,0,45,0%,13.02
ドイツ,0,45,0%,13.56
コロンビア,0,41,0%,13.8
フランス,0,41,0%,21.1
ロシア,0,38,0%,15.71
トルコ,0,36,0%,14.17
エクアドル,0,30,0%,17.7
パキスタン,0,28,0%,21.11
モロッコ,0,23,0%,14.09
イタリア,0,18,0%,11.28
ウクライナ,0,18,0%,18.56
エジプト,0,18,0%,20.72
サウジアラビア,0,18,0%,30
ポーランド,0,17,0%,8.41
オランダ,0,15,0%,9.33
アラブ首長国連邦,0,15,0%,13.93
チリ,0,14,0%,7.79
カザフスタン,0,13,0%,12.69
イラク,0,12,0%,12.75
スイス連邦,0,11,0%,7.09
ヨルダン,0,11,0%,13.64
ペルー,0,11,0%,19.82
ルーマニア,0,10,0%,13.7
イスラエル,0,9,0%,6.67
ニュージーランド,0,9,0%,9.78
ネパール,0,9,0%,13.11
ベネズエラ,0,9,0%,13.56
ウルグアイ,0,9,0%,13.89
パラグアイ,0,9,0%,23.44
ドミニカ,0,9,0%,27
ボリビア,0,8,0%,6.88
ナイジェリア,0,8,0%,18.88
チュニジア,0,8,0%,22.12
ハンガリー,0,7,0%,4.86
アルジェリア,0,7,0%,9.43
ブルガリア,0,7,0%,10.14
ポルトガル,0,7,0%,12.43
ケニア,0,7,0%,12.86
ウズベキスタン,0,6,0%,11.33
スウェーデン,0,6,0%,12.33
ジャマイカ,0,5,0%,3.6
スロバキア,0,5,0%,4.2
グルジア,0,5,0%,11.8
ノルウェー,0,5,0%,19
リトアニア,0,5,0%,22.6
トリニダード・トバゴ,0,5,0%,23.8
オーストリア,0,5,0%,35.4
ベルギー,0,4,0%,4
コスタリカ,0,4,0%,5.5
セルビア,0,4,0%,8.5
ギリシャ,0,4,0%,9.25
アルバニア,0,4,0%,15
ベラルーシ,0,4,0%,26
イラン,0,3,0%,3.67
グアム,0,3,0%,4.67
オマーン,0,3,0%,6
カタール,0,3,0%,6
カンボジア,0,3,0%,8
不明な地域,0,3,0%,15.33
パレスチナ,0,3,0%,18
グァテマラ,0,3,0%,33.67
レバノン,0,2,0%,2.5
ベリーズ,0,2,0%,4
ガボン,0,2,0%,4.5
コソボ,0,2,0%,5.5
スリランカ,0,2,0%,6.5
セネガル,0,2,0%,7
チェキア,0,2,0%,8
エチオピア,0,2,0%,8.5
バルバドス,0,2,0%,9.5
プエルトリコ,0,2,0%,11
バーレーン,0,2,0%,16.5
ブータン,0,2,0%,23.5
フィンランド,0,2,0%,25
ホンジュラス,0,2,0%,27
モルドバ,0,2,0%,27.5
クウェート,0,2,0%,30.5
シリア,0,2,0%,57
ケイマン諸島,0,1,0%,1
クロアチア,0,1,0%,2
カメルーン,0,1,0%,3
セントルシア,0,1,0%,3
モーリシャス,0,1,0%,3
スリナム,0,1,0%,3
西サハラ,0,1,0%,4
アルメニア,0,1,0%,5
アゼルバイジャン,0,1,0%,5
キプロス,0,1,0%,5
フィジー,0,1,0%,5
ラトビア,0,1,0%,5
マルタ,0,1,0%,5
スロベニア,0,1,0%,5
バハマ,0,1,0%,6
エストニア,0,1,0%,6
パラオ,0,1,0%,6
イエメン,0,1,0%,6
ソマリア,0,1,0%,7
アフガニスタン,0,1,0%,8
マダガスカル,0,1,0%,8
ボスニア・ヘルツェゴビナ,0,1,0%,10
バミューダ,0,1,0%,11
ボツワナ,0,1,0%,11
アイスランド,0,1,0%,11
コンゴ共和国 - ブラザビル,0,1,0%,12
ウガンダ,0,1,0%,12
エルサルバドル,0,1,0%,16
サンマリノ,0,1,0%,19
マケドニア,0,1,0%,21
キルギス,0,1,0%,43
モンテネグロ,0,1,0%,47
ザンビア,0,1,0%,48